OFFENSE,WARD,LATITUDE,LONGITUDE
THEFT/OTHER,3,38.9196665779,-77.0710366027
THEFT/OTHER,3,38.9492466458,-77.0802982386
THEFT/OTHER,2,38.9060618647,-77.0413573339
THEFT F/AUTO,5,38.9030470047,-76.9881707619
THEFT/OTHER,1,38.9183090698,-77.0392468552
THEFT/OTHER,4,38.9577954916,-77.0016979799
THEFT/OTHER,8,38.8531334276,-76.9640406795
THEFT/OTHER,1,38.9238698908,-77.0408755892
THEFT F/AUTO,1,38.931128052,-77.030279677
THEFT/OTHER,6,38.9001986979,-76.9869062421
THEFT/OTHER,7,38.8644490045,-76.9472700377
THEFT F/AUTO,4,38.9598067385,-77.018032762
ASSAULT W/DANGEROUS WEAPON,1,38.928647251,-77.0354170737
ROBBERY,5,38.92542322,-76.9952336992
THEFT/OTHER,4,38.9560512273,-77.0012618299
THEFT F/AUTO,1,38.9230971244,-77.0270369485
THEFT F/AUTO,4,38.9811765459,-77.0287656029
MOTOR VEHICLE THEFT,4,38.9492426699,-77.0185087247
THEFT/OTHER,5,38.9014908984,-76.9741764233
THEFT/OTHER,7,38.9046483478,-76.9446695344
THEFT F/AUTO,1,38.9308280161,-77.0234877766
ASSAULT W/DANGEROUS WEAPON,5,38.9125974035,-77.0054599094
MOTOR VEHICLE THEFT,1,38.9175657908,-77.0395192704
THEFT/OTHER,2,38.9099274291,-77.0436069637
THEFT/OTHER,3,38.9492466458,-77.0802982386
THEFT F/AUTO,4,38.9699228716,-77.0170969293
THEFT/OTHER,5,38.9012753565,-76.9826084878
THEFT F/AUTO,4,38.9699228716,-77.0170969293
THEFT/OTHER,4,38.9381442945,-77.0271985993
THEFT/OTHER,6,38.8860392052,-77.0187306853
THEFT F/AUTO,8,38.8269124825,-77.0066703033
THEFT/OTHER,6,38.8914756394,-77.0005753034
THEFT/OTHER,5,38.9164774036,-76.9827155922
MOTOR VEHICLE THEFT,7,38.8902147384,-76.9527679775
THEFT/OTHER,4,38.9619795615,-77.0279498335
THEFT/OTHER,5,38.9209329952,-76.9971570051
THEFT/OTHER,2,38.9031438349,-77.0396671484
THEFT/OTHER,2,38.9049076407,-77.0259863348
THEFT/OTHER,6,38.9002045619,-76.998974449
THEFT F/AUTO,6,38.8847724116,-77.0259742758
THEFT F/AUTO,2,38.9100148863,-77.0416697781
ASSAULT W/DANGEROUS WEAPON,7,38.8966558827,-76.9476475094
THEFT/OTHER,2,38.90521284,-77.0596649526
THEFT/OTHER,8,38.8213127141,-77.0090026465
THEFT F/AUTO,2,38.9037375931,-77.0288555415
ASSAULT W/DANGEROUS WEAPON,8,38.8437955831,-76.9890870425
THEFT F/AUTO,7,38.8931712147,-76.9575069973
THEFT/OTHER,4,38.9748378665,-77.014324859
THEFT F/AUTO,8,38.8266163993,-76.9943596393
THEFT F/AUTO,2,38.9114982891,-77.0319506953
THEFT/OTHER,7,38.898365829,-76.9302034569
THEFT F/AUTO,2,38.9018118587,-77.0209056408
MOTOR VEHICLE THEFT,8,38.8622527489,-76.9931812237
THEFT/OTHER,7,38.8689186523,-76.9594761766
THEFT F/AUTO,1,38.9148303703,-77.0249767573
THEFT F/AUTO,8,38.861630441,-76.989459909
THEFT/OTHER,6,38.9078254892,-77.0035141787
THEFT F/AUTO,1,38.9186477371,-77.0296199819
THEFT/OTHER,5,38.907539879,-77.001404167
THEFT/OTHER,5,38.9166372272,-77.0005691643
ROBBERY,5,38.9151771564,-77.0121553765
THEFT/OTHER,6,38.9025148158,-77.0028031789
THEFT/OTHER,5,38.9198458716,-76.9528994141
THEFT/OTHER,4,38.9619795615,-77.0279498335
THEFT/OTHER,1,38.9197464567,-77.0333922392
THEFT F/AUTO,2,38.9135638723,-77.0199000615
ASSAULT W/DANGEROUS WEAPON,5,38.9129981319,-76.9847834712
ASSAULT W/DANGEROUS WEAPON,4,38.9627002808,-77.0125085932
THEFT/OTHER,2,38.9129805342,-77.0384829238
BURGLARY,3,38.9502034057,-77.0803117756
THEFT/OTHER,3,38.9361950358,-77.0588766912
